		crustacean	crustacean	crustacean	detritus	detritus	detritus	echinoderm	echinoderm	elongate	elongate	elongate		gelatinous	gelatinous	gelatinous	gelatinous		mollusc			phytoplankton	phytoplankton	phytoplankton	protist	protist	protist	protist	protist	protist	protist	radiolarian	trichodesmium	Trichodesmium
Class_Names	Count	copepod	eumalacostracan	ostracod	blob	oildroplet	snow	bipinnaria	plutei	chaetognath	polychaete	strands	fish	ctenophore	hydromedusae	siphonophore	tunicate	larvacean	pteropod	noise	other	chaetoceros	chain	noctiluca	acantharia	diffuse	knobby	lopsided	radio	spiny	thalassicola	ribboncolony	colonies	elongate
gelatinous_hydromedusae	8.48%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
gelatinous_siphonophore	1.82%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
gelatinous_tunicate	6.29%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
larvacean	1.88%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
mollusc_pteropod	2.37%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
noise	6.73%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
other	0.36%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
phytoplankton_chaetoceros	0.82%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
phytoplankton_chain	2.74%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
phytoplankton_noctiluca	0.89%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
protist_acantharia	0.63%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
protist_diffuse	1.57%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
protist_knobby	1.23%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
protist_lopsided	2.91%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
protist_radio	1.57%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%
protist_spiny	1.36%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%
protist_thalassicola	0.71%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%
radiolarian_ribboncolony	0.58%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%
trichodesmium_colonies	3.36%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%
Trichodesmium_elongate	0.82%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%


Non Noise Accuracy:	99.989%





Confusion Matrix   Training Level[3]       Preduction Level[3]


Overall Accuracy:	99.912%

		crustacean	crustacean	crustacean	crustacean	crustacean	crustacean		crustacean	crustacean												gelatinous	gelatinous	gelatinous	gelatinous	gelatinous	gelatinous	gelatinous	gelatinous	gelatinous	gelatinous	gelatinous	gelatinous	gelatinous		mollusc	mollusc															
		copepod	copepod	copepod	copepod	copepod	copepod	crustacean	eumalacostracan	eumalacostracan	crustacean	detritus	detritus	detritus	echinoderm	echinoderm	elongate	elongate	elongate		gelatinous	hydromedusae	hydromedusae	hydromedusae	hydromedusae	hydromedusae	hydromedusae	hydromedusae	hydromedusae	hydromedusae	siphonophore	siphonophore	tunicate	tunicate		pteropod	pteropod			phytoplankton	phytoplankton	phytoplankton	protist	protist	protist	protist	protist	protist	protist	radiolarian	trichodesmium	Trichodesmium
Class_Names	Count	calanoid	copilia	eyes	macrosetella	oithona	oncaea	eumalacostracan	euphausiid	lucifer	ostracod	blob	oildroplet	snow	bipinnaria	plutei	chaetognath	polychaete	strands	fish	ctenophore	aequorea	aglaura	clytia	hydroid	long	narcomedusae	neoturris	other	solmundella	calycophoran	sphaeronectes	doliolid	salp	larvacean	corolla	creseis	noise	other	chaetoceros	chain	noctiluca	acantharia	diffuse	knobby	lopsided	radio	spiny	thalassicola	ribboncolony	colonies	elongate
